Uuid,Name,Description,Parent,Tags,Retired
4b3e7a10-1234-11ee-be56-0242ac120001,Jigjiga General Hospital,Jigjiga General Hospital,,"e2a1b3c4-d5e6-7890-1abc-def234567890",false
ac3e8ef2-1eec-11ee-a908-70b5e8304d67,MRU,MRU,4b3e7a10-1234-11ee-be56-0242ac120001,"b8bbf83e-645f-451f-8efe-a0db56f09676",false
ac3e8ef2-1eec-11ee-a908-70b5e8304d68,Central Triage,Central Triage,4b3e7a10-1234-11ee-be56-0242ac120001,"b8bbf83e-645f-451f-8efe-a0db56f09676;c84e3b55-1eec-11ee-a908-70b5e8304d66",false
ac3e8ef2-1eec-11ee-a908-70b5e8304d69,Pediatric ER,Pediatric ER,4b3e7a10-1234-11ee-be56-0242ac120001,"b8bbf83e-645f-451f-8efe-a0db56f09676;c84e3b55-1eec-11ee-a908-70b5e8304d66",false
ac3e8ef2-1eec-11ee-a908-70b5e8304d70,Adult ER,Adult ER,4b3e7a10-1234-11ee-be56-0242ac120001,"b8bbf83e-645f-451f-8efe-a0db56f09676;f5b9737b-14d5-402b-8475-dd558808e172",false
ac3e8ef2-1eec-11ee-a908-70b5e8304d71,Obstetric And Gynecologic ER,Obstetric And Gynecologic ER,4b3e7a10-1234-11ee-be56-0242ac120001,"b8bbf83e-645f-451f-8efe-a0db56f09676;c84e3b55-1eec-11ee-a908-70b5e8304d66",false
ac3e8ef2-1eec-11ee-a908-70b5e8304d72,Trauma ER,Trauma ER,4b3e7a10-1234-11ee-be56-0242ac120001,"b8bbf83e-645f-451f-8efe-a0db56f09676;f5b9737b-14d5-402b-8475-dd558808e172",false
ac3e8ef2-1eec-11ee-a908-70b5e8304d73,General OPD,General OPD,4b3e7a10-1234-11ee-be56-0242ac120001,"b8bbf83e-645f-451f-8efe-a0db56f09676;c84e3b55-1eec-11ee-a908-70b5e8304d66;ac3e8ef2-1eec-11ee-a908-70b5e8304d66",false
ac3e8ef2-1eec-11ee-a908-70b5e8304d74,OPD 2 - Adult OPD,OPD 2 - Adult OPD,4b3e7a10-1234-11ee-be56-0242ac120001,"b8bbf83e-645f-451f-8efe-a0db56f09676;f5b9737b-14d5-402b-8475-dd558808e172;c84e3b55-1eec-11ee-a908-70b5e8304d66;ac3e8ef2-1eec-11ee-a908-70b5e8304d66",false
ac3e8ef2-1eec-11ee-a908-70b5e8304d75,OPD 8 - Under 5 OPD,OPD 8 - Under 5 OPD,4b3e7a10-1234-11ee-be56-0242ac120001,"b8bbf83e-645f-451f-8efe-a0db56f09676;f5b9737b-14d5-402b-8475-dd558808e172;ac3e8ef2-1eec-11ee-a908-70b5e8304d66",false
ac3e8ef2-1eec-11ee-a908-70b5e8304d76,ART,ART,4b3e7a10-1234-11ee-be56-0242ac120001,"b8bbf83e-645f-451f-8efe-a0db56f09676;c84e3b55-1eec-11ee-a908-70b5e8304d66;ac3e8ef2-1eec-11ee-a908-70b5e8304d66",false
ac3e8ef2-1eec-11ee-a908-70b5e8304d77,OPD 15 - ANC,OPD 15 - ANC,4b3e7a10-1234-11ee-be56-0242ac120001,"b8bbf83e-645f-451f-8efe-a0db56f09676;f5b9737b-14d5-402b-8475-dd558808e172;ac3e8ef2-1eec-11ee-a908-70b5e8304d66",false
ac3e8ef2-1eec-11ee-a908-70b5e8304d78,OPD 18 - Dental,OPD 18 - Dental,4b3e7a10-1234-11ee-be56-0242ac120001,"b8bbf83e-645f-451f-8efe-a0db56f09676;f5b9737b-14d5-402b-8475-dd558808e172;ac3e8ef2-1eec-11ee-a908-70b5e8304d66",false
ac3e8ef2-1eec-11ee-a908-70b5e8304d79,Derma Specialist Clinic,Derma Specialist Clinic,4b3e7a10-1234-11ee-be56-0242ac120001,"e2a1b3c4-d5e6-7890-1abc-def234567890;b8bbf83e-645f-451f-8efe-a0db56f09676;ac3e8ef2-1eec-11ee-a908-70b5e8304d66",false
ac3e8ef2-1eec-11ee-a908-70b5e8304d80,Orthopedic Specialty Clinic,Orthopedic Specialty Clinic,4b3e7a10-1234-11ee-be56-0242ac120001,"e2a1b3c4-d5e6-7890-1abc-def234567890;b8bbf83e-645f-451f-8efe-a0db56f09676;ac3e8ef2-1eec-11ee-a908-70b5e8304d66",false
ac3e8ef2-1eec-11ee-a908-70b5e8304d81,Neurosurgical Specialist Clinic,Neurosurgical Specialist Clinic,4b3e7a10-1234-11ee-be56-0242ac120001,"e2a1b3c4-d5e6-7890-1abc-def234567890;b8bbf83e-645f-451f-8efe-a0db56f09676;ac3e8ef2-1eec-11ee-a908-70b5e8304d66",false
ac3e8ef2-1eec-11ee-a908-70b5e8304d82,Medical Ward,Medical Ward,4b3e7a10-1234-11ee-be56-0242ac120001,"b8bbf83e-645f-451f-8efe-a0db56f09676;f5b9737b-14d5-402b-8475-dd558808e172;ac3e8ef2-1eec-11ee-a908-70b5e8304d66",false
ac3e8ef2-1eec-11ee-a908-70b5e8304d83,Room 1 Female Ward,Room 1 Female Ward,ac3e8ef2-1eec-11ee-a908-70b5e8304d82,"f5b9737b-14d5-402b-8475-dd558808e172",false
ac3e8ef2-1eec-11ee-a908-70b5e8304d84,Room 2 Male Ward,Room 2 Male Ward,ac3e8ef2-1eec-11ee-a908-70b5e8304d82,"f5b9737b-14d5-402b-8475-dd558808e172",false
ac3e8ef2-1eec-11ee-a908-70b5e8304d85,Pediatrics Ward,Pediatrics Ward,4b3e7a10-1234-11ee-be56-0242ac120001,"b8bbf83e-645f-451f-8efe-a0db56f09676;f5b9737b-14d5-402b-8475-dd558808e172;ac3e8ef2-1eec-11ee-a908-70b5e8304d66",false
ac3e8ef2-1eec-11ee-a908-70b5e8304d86,Room 1 SAM Ward,Room 1 SAM Ward,ac3e8ef2-1eec-11ee-a908-70b5e8304d85,"f5b9737b-14d5-402b-8475-dd558808e172",false
ac3e8ef2-1eec-11ee-a908-70b5e8304d87,Stabilization Center (SC),Stabilization Center (SC),ac3e8ef2-1eec-11ee-a908-70b5e8304d85,"f5b9737b-14d5-402b-8475-dd558808e172",false
ac3e8ef2-1eec-11ee-a908-70b5e8304d88,OBS Ward,OBS Ward,4b3e7a10-1234-11ee-be56-0242ac120001,"b8bbf83e-645f-451f-8efe-a0db56f09676;f5b9737b-14d5-402b-8475-dd558808e172;ac3e8ef2-1eec-11ee-a908-70b5e8304d66",false
ac3e8ef2-1eec-11ee-a908-70b5e8304d89,Labor Ward,Labor Ward,ac3e8ef2-1eec-11ee-a908-70b5e8304d88,"f5b9737b-14d5-402b-8475-dd558808e172",false
ac3e8ef2-1eec-11ee-a908-70b5e8304d90,Postnatal Ward,Postnatal Ward,ac3e8ef2-1eec-11ee-a908-70b5e8304d88,"f5b9737b-14d5-402b-8475-dd558808e172",false
ac3e8ef2-1eec-11ee-a908-70b5e8304d91,ICU,ICU,4b3e7a10-1234-11ee-be56-0242ac120001,"b8bbf83e-645f-451f-8efe-a0db56f09676;f5b9737b-14d5-402b-8475-dd558808e172;ac3e8ef2-1eec-11ee-a908-70b5e8304d66",false
ac3e8ef2-1eec-11ee-a908-70b5e8304d92,Room 1,Room 1,ac3e8ef2-1eec-11ee-a908-70b5e8304d91,"f5b9737b-14d5-402b-8475-dd558808e172",false
ac3e8ef2-1eec-11ee-a908-70b5e8304d93,NICU,NICU,4b3e7a10-1234-11ee-be56-0242ac120001,"b8bbf83e-645f-451f-8efe-a0db56f09676;f5b9737b-14d5-402b-8475-dd558808e172;ac3e8ef2-1eec-11ee-a908-70b5e8304d66",false
ac3e8ef2-1eec-11ee-a908-70b5e8304d94,NICU Male,NICU Male,ac3e8ef2-1eec-11ee-a908-70b5e8304d93,"f5b9737b-14d5-402b-8475-dd558808e172",false
ac3e8ef2-1eec-11ee-a908-70b5e8304d95,Surgery Ward,Surgery Ward,4b3e7a10-1234-11ee-be56-0242ac120001,"b8bbf83e-645f-451f-8efe-a0db56f09676;f5b9737b-14d5-402b-8475-dd558808e172;ac3e8ef2-1eec-11ee-a908-70b5e8304d66",false
ac3e8ef2-1eec-11ee-a908-70b5e8304d96,Burn Unit Surgery,Burn Unit Surgery,ac3e8ef2-1eec-11ee-a908-70b5e8304d95,"f5b9737b-14d5-402b-8475-dd558808e172",false
ac3e8ef2-1eec-11ee-a908-70b5e8304d97,Major OR 1,Major OR 1,4b3e7a10-1234-11ee-be56-0242ac120001,"b8bbf83e-645f-451f-8efe-a0db56f09676;ac3e8ef2-1eec-11ee-a908-70b5e8304d66",false
ac3e8ef2-1eec-11ee-a908-70b5e8304d98,Minor OR 1,Minor OR 1,4b3e7a10-1234-11ee-be56-0242ac120001,"b8bbf83e-645f-451f-8efe-a0db56f09676;ac3e8ef2-1eec-11ee-a908-70b5e8304d66",false
